# eigen3_x eigen3_y eigen3_z x1 y1 z1 x2 y2 z2 nx ny nz
0.306731 -0.148375 0.940160 41.377000 159.704000 0.034000 41.498000 159.695000 0.387000 -0.383000 0.085000 0.134000
0.055055 0.558839 0.827446 41.400000 116.428000 34.362000 41.498000 116.311000 33.968000 0.499000 -0.316000 0.218000
0.412600 -0.853684 0.317782 42.338000 41.299000 222.217000 42.149000 41.696000 222.119000 -0.376000 0.026000 0.830000
0.168582 0.856997 0.486966 42.435000 249.828000 9.354000 42.555000 248.515000 8.401000 -0.608000 0.421000 -0.656000
0.109646 0.820125 0.561581 42.555000 248.515000 8.401000 42.435000 249.828000 9.354000 -0.608000 0.421000 -0.656000
-0.652473 -0.515519 0.555445 42.895000 21.555000 123.609000 42.953000 21.893000 123.298000 0.104000 0.372000 0.424000
-0.652473 -0.515519 0.555445 42.953000 21.893000 123.298000 42.895000 21.555000 123.609000 0.104000 0.372000 0.424000
0.268365 -0.014093 0.963214 43.054000 80.869000 179.228000 43.127000 80.871000 179.813000 -0.374000 0.861000 0.044000
-0.813213 -0.482754 0.325012 43.076000 43.630000 75.535000 43.167000 43.346000 75.379000 0.168000 -0.133000 0.340000
-0.813213 -0.482754 0.325012 43.167000 43.346000 75.379000 43.076000 43.630000 75.535000 0.168000 -0.133000 0.340000
-0.580994 -0.370991 0.724439 43.227000 25.590000 93.004000 43.487000 25.861000 92.816000 -0.343000 0.209000 -0.174000
0.127896 -0.430816 0.893331 43.453000 171.823000 59.435000 43.300000 171.538000 60.190000 0.178000 0.604000 0.264000
0.202747 0.899500 0.387032 44.318000 242.522000 98.097000 44.261000 242.020000 98.138000 0.827000 -0.117000 -0.270000
0.450105 -0.630951 0.631906 45.049000 107.898000 60.509000 44.835000 107.690000 60.782000 -0.018000 -0.155000 -0.133000
0.366422 0.861991 0.350294 45.211000 2.402000 235.052000 45.100000 2.007000 234.741000 0.478000 -0.383000 0.315000
0.138804 -0.952048 0.272648 46.033000 219.288000 121.694000 46.018000 218.679000 122.154000 0.763000 0.195000 0.283000
-0.578643 -0.484762 0.655880 47.308000 124.164000 191.160000 47.194000 124.057000 191.261000 0.759000 -0.323000 0.518000
-0.377799 0.270283 0.885559 47.600000 169.595000 54.939000 47.376000 169.550000 54.599000 0.174000 0.685000 -0.206000
-0.134013 0.842062 0.522467 47.731000 66.942000 48.700000 47.678000 67.231000 48.879000 -0.017000 -0.066000 0.102000
0.612482 -0.420212 0.669543 48.119000 32.345000 235.449000 47.841000 32.551000 235.282000 -0.567000 -0.668000 0.116000
0.110676 0.037968 0.993131 48.944000 209.461000 14.767000 48.726000 209.334000 15.318000 -0.277000 0.502000 0.006000
-0.047505 -0.686044 0.726008 48.949000 188.761000 242.660000 48.861000 188.449000 242.992000 -0.448000 -0.453000 -0.543000
0.423565 0.620884 0.659617 49.228000 70.146000 69.901000 49.029000 70.396000 70.191000 -0.082000 0.469000 -0.459000
-0.093307 0.529442 0.843199 49.576000 119.457000 63.388000 49.557000 119.680000 63.071000 0.704000 0.057000 -0.002000
0.381338 0.529302 0.757905 49.725000 48.571000 23.684000 49.806000 48.897000 23.979000 -0.662000 -0.252000 0.460000
0.382903 0.483038 0.787439 49.806000 48.897000 23.979000 49.725000 48.571000 23.684000 -0.662000 -0.252000 0.460000
-0.592889 -0.804891 0.025183 49.811000 203.893000 167.279000 50.204000 203.754000 167.276000 0.001000 0.011000 -0.533000
-0.788148 0.155888 0.595418 49.964000 20.460000 105.431000 50.329000 20.370000 105.165000 -0.004000 -0.001000 -0.005000
0.351455 -0.795505 0.493610 50.082000 105.695000 85.322000 49.925000 106.057000 84.976000 -0.416000 -0.131000 0.051000
-0.007749 0.977583 0.210407 50.176000 53.755000 105.774000 50.159000 53.740000 105.674000 0.461000 -0.001000 -0.079000
-0.592889 -0.804891 0.025183 50.204000 203.754000 167.276000 49.811000 203.893000 167.279000 0.001000 0.011000 -0.533000
-0.788148 0.155888 0.595418 50.329000 20.370000 105.165000 49.964000 20.460000 105.431000 -0.004000 -0.001000 -0.005000
0.714032 0.217785 0.665378 51.201000 20.162000 61.633000 50.843000 20.090000 61.685000 0.100000 -0.426000 0.097000
-0.709401 -0.704562 0.018498 51.348000 107.834000 202.558000 51.781000 107.978000 202.335000 0.283000 -0.218000 0.408000
-0.683866 -0.729239 0.023169 51.781000 107.978000 202.335000 51.348000 107.834000 202.558000 0.283000 -0.218000 0.408000
-0.953107 0.044163 0.299395 52.002000 134.061000 138.860000 52.635000 134.044000 138.630000 0.167000 0.476000 0.424000
-0.880596 -0.215966 0.421794 52.018000 211.215000 79.528000 51.429000 211.219000 79.743000 0.258000 0.077000 0.708000
0.661949 -0.283609 0.693823 52.117000 70.687000 62.130000 51.627000 70.892000 61.611000 0.029000 -0.159000 -0.090000
-0.360941 0.863827 0.351461 52.301000 22.078000 69.732000 52.173000 22.353000 69.965000 -0.823000 -0.222000 -0.195000
0.126143 -0.599599 0.790297 52.750000 198.825000 9.500000 52.693000 198.497000 9.977000 0.045000 0.389000 0.273000
