#x1 y1 z1 m1 x2 y2 z2 m2 nx ny nz disp1 disp2
#        5520
   7.113  41.493   2.270  6.4634e+10   6.852  41.801   2.124  5.1491e+10  -0.355  -0.379  -0.166   0.094   0.083
   7.149 158.815 151.140  1.2088e+12   6.952 159.273 150.586  8.3049e+11  -0.368  -0.140   0.016   0.053   0.050
   7.190  49.160  82.510  2.8130e+11   7.311  49.061  82.943  9.1735e+10   0.020  -0.147  -0.039   0.076   0.092
   7.191 194.422 167.657  1.2507e+11   7.181 194.366 168.102  3.8279e+11  -0.647  -0.462  -0.073   0.173   0.183
   7.202  28.777 130.705  2.3553e+12   7.558  28.662 131.271  3.8847e+12   0.129   0.050  -0.071   0.000   0.000
   7.346  68.700  27.893  4.2087e+11   7.326  68.592  28.233  5.6369e+10   0.494   0.264   0.114   0.238   0.281
   7.347   1.260  40.437  8.5231e+11   7.455   0.824  40.284  6.7209e+10   0.093   0.063  -0.112   0.295   0.326
   7.361 133.893 235.671  1.2405e+12   7.428 133.936 236.215  2.3740e+11   0.134  -0.361   0.012   0.063   0.070
   7.400 163.161 247.994  5.6816e+11   6.891 162.885 248.226  2.3862e+11   0.332  -0.382   0.273   0.019   0.023
   7.422 183.907  69.271  7.5109e+11   7.764 184.303  69.438  5.6775e+11  -0.285   0.316  -0.165   0.163   0.099
   7.581 204.851 207.703  1.1426e+12   7.340 204.562 207.961  5.8483e+11   0.139  -0.144  -0.031   0.092   0.129
   7.635  23.571  16.858  5.5064e+12   8.330  23.290  16.856  2.7451e+13   0.182   0.452  -0.411   0.144   0.045
   7.715 157.180 135.653  5.5556e+10   8.154 157.055 135.485  1.3008e+11   0.407   0.623   0.599   0.399   0.438
   7.715 242.684  76.443  4.7656e+11   7.720 242.872  77.030  2.8090e+11  -0.504   0.524  -0.163   0.074   0.080
   7.767 109.325 229.923  8.0430e+12   8.123 109.678 229.778  2.4900e+12  -0.565   0.507  -0.155   0.040   0.156
   7.788 199.823  16.300  4.7480e+11   7.822 199.888  16.004  1.8749e+12  -0.606  -0.646  -0.211   0.612   0.644
   7.799 223.757  14.334  7.5136e+11   7.920 223.657  14.700  1.7057e+12   0.139  -0.234  -0.110   0.103   0.157
   7.873  88.521 106.949  3.1735e+11   8.206  88.517 107.139  1.9594e+11  -0.170   0.023   0.299   0.241   0.266
   7.876 141.302 119.576  2.5569e+11   7.796 141.331 120.063  4.8645e+11   0.135  -0.096   0.028   0.134   0.117
   7.878 113.856  84.227  1.6572e+11   8.069 113.734  83.851  1.7453e+11   0.267   0.271   0.048   0.160   0.146
   8.045  92.667 158.207  9.3144e+11   8.189  92.545 158.574  2.4824e+11   0.229  -0.576  -0.282   0.185   0.165
   8.069 113.734  83.851  1.7453e+11   7.878 113.856  84.227  1.6572e+11   0.267   0.271   0.048   0.225   0.248
   8.112 199.705 113.385  5.0557e+12   8.156 199.536 113.820  2.1270e+12   0.631  -0.131  -0.115   0.250   0.352
   8.115 230.920 213.120  1.4252e+12   7.606 230.738 213.725  2.1006e+12   0.116  -0.166   0.048   0.118   0.113
   8.143  30.999 167.347  1.4637e+12   7.766  31.180 167.354  3.9031e+12  -0.052  -0.131   0.603   0.000   0.000
   8.146 238.130  89.119  4.8325e+12   8.098 238.083  89.112  7.8496e+11   0.106   0.039  -0.963   0.196   0.283
   8.147 144.684 237.021  5.8144e+12   7.714 144.314 237.016  3.1924e+11   0.242  -0.283   0.006   0.084   0.064
   8.148   9.924 108.756  1.7858e+12   8.470   9.542 109.190  1.0339e+11  -0.245  -0.095   0.098   0.206   0.195
   8.156 199.536 113.820  2.1270e+12   8.112 199.705 113.385  5.0557e+12   0.631  -0.131  -0.115   0.260   0.187
   8.206  88.517 107.139  1.9594e+11   7.873  88.521 106.949  3.1735e+11  -0.170   0.023   0.299   0.171   0.156
   8.237 225.874  83.516  4.4919e+11   8.316 226.215  83.195  5.5285e+10   0.188   0.488   0.566   0.076   0.101
   8.242  16.048 118.455  5.3157e+11   8.293  15.722 118.546  1.0935e+11   0.060  -0.119  -0.459   0.195   0.234
   8.301 249.167  67.650  3.8889e+11   8.546 248.884  67.817  6.8700e+10   0.436   0.212  -0.281   0.199   0.266
   8.316 226.215  83.195  5.5285e+10   8.237 225.874  83.516  4.4919e+11   0.188   0.488   0.566   0.000   0.000
   8.366  60.979 147.559  4.5651e+11   8.251  61.171 148.099  1.1789e+11  -0.142   0.220  -0.109   0.204   0.202
   8.450  23.073 230.998  2.1829e+11   8.784  22.839 231.012  6.1924e+10   0.091   0.099  -0.532   0.100   0.099
   8.470   9.542 109.190  1.0339e+11   8.148   9.924 108.756  1.7858e+12  -0.245  -0.095   0.098   0.070   0.076
   8.479 212.146 180.102  8.9998e+12   8.873 212.506 180.254  7.9418e+11   0.022  -0.009  -0.036   0.141   0.150
