# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA eigen2_xA eigen2_yA eigen2_zA eigen3_xA eigen3_yA eigen3_zA# lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB eigen2_xB eigen2_yB eigen2_zB eigen3_xB eigen3_yB eigen3_zB 
# 5481
-0.055597 -0.072952 -0.157451 -0.812685 0.027542 0.582053 0.395490 -0.707511 0.585676 0.427939 0.706166 0.564091 -0.080594 -0.086375 -0.162928 -0.831807 0.298908 0.467708 0.249458 -0.551415 0.796060 0.495850 0.778842 0.384106 
0.694535 0.086992 -0.430080 -0.566079 0.749107 0.344084 -0.418529 -0.620771 0.662930 0.710203 0.231262 0.664928 0.551305 0.145390 -0.440597 -0.525740 0.766278 0.369344 -0.485665 -0.626864 0.609238 0.698375 0.140923 0.701722 
4.938421 3.316077 2.886162 -0.326504 -0.898397 0.293731 -0.922686 0.370364 0.107148 0.205049 0.236037 0.949864 4.938421 3.316077 2.886162 -0.326504 -0.898397 0.293731 -0.922686 0.370364 0.107148 0.205049 0.236037 0.949864 
0.180506 0.019296 -0.245554 -0.794640 -0.606583 0.024587 -0.512112 0.691530 0.509438 0.326020 -0.392229 0.860156 0.133310 -0.023555 -0.166275 -0.842617 -0.529654 0.097277 -0.458925 0.800783 0.384882 0.281752 -0.279665 0.917825 
3.334140 2.221034 0.381399 -0.859971 -0.182057 0.476766 0.430612 0.242543 0.869337 0.273905 -0.952905 0.130184 3.334140 2.221034 0.381399 -0.859971 -0.182057 0.476766 0.430612 0.242543 0.869337 0.273905 -0.952905 0.130184 
3.334140 2.221034 0.381399 -0.859971 -0.182057 0.476766 0.430612 0.242543 0.869337 0.273905 -0.952905 0.130184 3.334140 2.221034 0.381399 -0.859971 -0.182057 0.476766 0.430612 0.242543 0.869337 0.273905 -0.952905 0.130184 
0.507965 0.405676 -0.207152 0.825460 0.133508 0.548445 -0.215677 0.972502 0.087878 -0.521632 -0.190827 0.831556 0.504833 0.357491 -0.321006 0.741644 0.323303 0.587741 0.391107 -0.920258 0.012694 -0.544977 -0.220455 0.808949 
4.806842 3.095995 2.531083 -0.250331 -0.912090 0.324693 -0.661093 0.406048 0.630936 0.707312 0.056710 0.704623 4.938421 3.316077 2.886162 -0.326504 -0.898397 0.293731 -0.922686 0.370364 0.107148 0.205049 0.236037 0.949864 
1.207629 0.447809 -0.161793 0.777611 0.425748 0.462665 -0.404018 -0.225476 0.886527 -0.481757 0.876299 0.003323 1.207629 0.447809 -0.161793 0.777611 0.425748 0.462665 -0.404018 -0.225476 0.886527 -0.481757 0.876299 0.003323 
3.623077 2.325387 1.517606 -0.219928 -0.752032 0.621353 -0.873584 0.435297 0.217640 0.434145 0.494940 0.752697 3.811945 2.849626 1.513114 -0.128743 -0.788202 0.601800 -0.788184 0.449611 0.420257 0.601824 0.420224 0.679132 
